Marker	Allele	LUS	BP	NDU1	NDU2	NDU3	NDU4	NDU6	NDU7
TH01	3	3	175	0	0	0	0	0	0
TH01	4	4	179	0	0	0	0	0	0
TH01	5	5	183	7	7	0	0	2	5
TH01	6	6	187	578	107	113	54	64	43
TH01	6.3	3	190	0	0	0	0	0	0
TH01	7	7	191	474	316	66	109	171	145
TH01	7.3	NA	194	0	1	0	0	0	1
TH01	8	8	195	250	151	51	26	72	79
TH01	8.3	5	198	3	0	1	0	0	0
TH01	9	9	199	360	127	100	175	64	63
TH01	9.3	6	202	852	59	67	15	15	44
TH01	10	10	203	26	2	2	27	0	2
TH01	10.3	6	206	0	0	0	0	0	0
TH01	11	11	207	0	0	0	0	0	0
TH01	12	12	211	0	0	0	0	0	0
TH01	13.3	8	218	0	0	0	0	0	0
TH01	-10	NA	NA	0	0	0	0	0	0
vWA	10	4	147	0	0	0	0	0	0
vWA	11	7	151	0	6	1	0	0	6
vWA	12	7	155	1	2	0	0	1	1
vWA	13	7.333	159	1	20	2	1	7	13
vWA	14	7.5	163	240	40	42	98	15	25
vWA	15	10.5	167	233	182	28	17	97	85
vWA	15.2	NA	169	0	0	0	0	0	0
vWA	16	11.5	171	528	217	103	72	119	98
vWA	17	12	175	714	135	106	98	71	64
vWA	18	12.5	179	574	95	79	82	47	48
vWA	18.1	12	180	0	0	0	0	0	0
vWA	19	14	183	213	47	29	30	18	29
vWA	20	15	187	42	23	9	6	12	11
vWA	21	16	191	4	3	1	2	1	2
vWA	22	17	195	0	0	0	0	0	0
vWA	-10	NA	NA	0	0	0	0	0	0
D18S51	7	NA	261	0	1	0	0	1	0
D18S51	8	8	265	1	0	0	0	0	0
D18S51	9	9	269	3	1	0	1	0	1
D18S51	10	10	273	29	4	5	0	0	4
D18S51	10.2	NA	275	0	2	0	0	0	2
D18S51	11	11	277	35	4	3	1	1	3
D18S51	12	12	281	381	47	34	25	26	21
D18S51	12.2	NA	283	0	1	0	0	0	1
D18S51	13	13	285	299	16	51	61	7	9
D18S51	13.2	13	287	0	9	0	0	7	2
D18S51	14	14	289	410	35	110	87	18	17
D18S51	14.2	14	291	0	5	0	0	2	3
D18S51	15	15	293	380	116	67	73	64	52
D18S51	15.2	15	295	0	0	0	0	0	0
D18S51	16	16	297	332	112	56	56	58	54
D18S51	16.2	NA	299	0	1	0	0	1	0
D18S51	17	17	301	286	132	19	25	71	61
D18S51	17.2	17	0	0	2	0	0	2	0
D18S51	18	18	305	197	111	24	26	56	55
D18S51	19	19	309	118	85	18	13	39	46
D18S51	19.2	19	311	0	0	0	0	0	0
D18S51	20	20	313	45	50	7	9	22	28
D18S51	20.2	NA	315	0	1	0	0	1	0
D18S51	21	21	317	22	24	2	9	10	14
D18S51	22	22	321	6	8	2	9	2	6
D18S51	22.2	NA	323	0	1	0	0	0	1
D18S51	23	23	325	3	2	1	8	0	2
D18S51	24	24	329	3	0	0	3	0	0
D18S51	25	25	333	0	0	1	0	0	0
D18S51	26	26	337	0	0	0	0	0	0
D18S51	27	27	341	0	0	0	0	0	0
D18S51	-10	NA	NA	0	0	0	0	0	0
D21S11	23.2	NA	181	0	0	0	0	0	0
D21S11	24	6	183	0	1	0	0	1	0
D21S11	24.2	8	185	3	0	0	0	0	0
D21S11	25	10	187	0	0	0	0	0	0
D21S11	25.2	10	189	0	0	0	0	0	0
D21S11	26	8	191	6	2	1	0	1	1
D21S11	26.2	NA	193	1	0	0	0	0	0
D21S11	27	8.6667	195	92	49	4	0	25	24
D21S11	27.1	NA	196	0	1	0	0	1	0
D21S11	28	9.5	199	384	197	57	26	103	94
D21S11	28.2	9	201	0	0	0	2	0	0
D21S11	28.3	NA	202	0	0	0	1	0	0
D21S11	29	10.5	203	565	124	82	107	65	59
D21S11	29.1	11	204	0	0	0	0	0	0
D21S11	29.2	10	205	1	1	1	0	0	1
D21S11	29.3	NA	206	1	0	0	0	0	0
D21S11	30	11	207	657	146	74	104	70	76
D21S11	30.2	10.5	209	78	14	17	5	7	7
D21S11	30.3	NA	210	0	0	0	1	0	0
D21S11	31	11.5	211	181	57	17	31	34	23
D21S11	31.2	11	213	261	33	50	29	12	21
D21S11	32	13	215	34	13	6	15	5	8
D21S11	32.2	12.6667	217	206	52	54	61	26	26
D21S11	33	14	219	3	6	1	3	3	3
D21S11	33.2	12.6667	221	67	30	33	18	13	17
D21S11	33.3	8	222	0	0	0	0	0	0
D21S11	34	13	223	0	5	0	1	3	2
D21S11	34.2	14	225	8	2	3	2	1	1
D21S11	34.3	10	226	0	0	0	0	0	0
D21S11	35	11.5	227	0	26	0	0	15	11
D21S11	35.2	15	229	2	3	0	0	2	1
D21S11	36	12.6667	231	0	6	0	0	1	5
D21S11	36.2	16	233	0	0	0	0	0	0
D21S11	37	12.5	235	0	1	0	0	0	1
D21S11	37.2	12.4	237	0	0	0	0	0	0
D21S11	38	12.25	239	0	1	0	0	0	1
D21S11	38.2	13	241	0	0	0	0	0	0
D21S11	39.2	12.5	245	0	0	0	0	0	0
D21S11	41.2	15	253	0	0	0	0	0	0
D21S11	-10	NA	NA	0	0	0	0	0	0
D8S1179	7	7	119	0	0	0	0	0	0
D8S1179	8	8	123	42	0	3	0	0	0
D8S1179	9	9	127	37	2	1	0	2	0
D8S1179	10	10	131	251	9	70	53	3	6
D8S1179	11	11	135	200	28	24	35	13	15
D8S1179	12	12	139	358	93	43	39	58	35
D8S1179	12.3	NA	142	0	1	0	0	0	1
D8S1179	13	11	143	830	152	67	73	67	85
D8S1179	14	12	147	514	259	100	92	132	127
D8S1179	15	13	151	243	162	55	64	82	80
D8S1179	16	13	155	67	52	32	39	24	28
D8S1179	17	13	159	8	11	5	9	7	4
D8S1179	18	15	163	0	1	0	2	0	1
D8S1179	19	15	167	0	0	0	0	0	0
D8S1179	-10	NA	NA	0	0	0	0	0	0
FGA	15	7	224	0	1	0	0	1	0
FGA	16	8	228	0	0	0	0	0	0
FGA	16.1	NA	229	1	0	0	0	0	0
FGA	16.2	9	230	0	0	0	0	0	0
FGA	17	9	232	4	0	0	1	0	0
FGA	17.2	NA	234	0	1	0	0	1	0
FGA	18	10	236	44	1	3	10	1	0
FGA	18.2	11	238	0	15	0	0	10	5
FGA	19	11	240	153	63	21	21	37	26
FGA	19.1	NA	241	1	0	0	0	0	0
FGA	19.2	12	242	0	3	1	0	1	2
FGA	20	12	244	357	40	37	24	22	18
FGA	20.2	13	246	4	2	0	0	0	2
FGA	21	13	248	456	82	66	41	32	50
FGA	21.2	14	250	10	1	2	0	0	1
FGA	22	14	252	484	133	65	62	73	60
FGA	22.1	NA	253	1	0	0	0	0	0
FGA	22.2	15	254	27	0	6	0	0	0
FGA	23	15	256	383	155	55	101	70	85
FGA	23.2	16	258	12	1	2	1	0	1
FGA	24	16	260	331	110	76	66	60	50
FGA	24.2	17	262	2	1	0	3	0	1
